,annotation_coarse,feature,mean,proportion
331,OPC-neuronal-like,SNAI1,0.4752244101202061,0.006946079585589828
332,Proliferative,SNAI1,0.17696738407007948,0.0038402802730865973
333,AC-gliosis-like,PARD6B,0.018186980023943044,0.05035936128004163
334,AC-progenitor-like,PARD6B,0.0,0.04830465649929999
335,Gliosis-like,PARD6B,1.0,0.12309872976067164
336,Hypoxic,PARD6B,0.7589887198637356,0.07710576544810806
337,NPC-neuronal-like,PARD6B,0.37885625652447896,0.0769862634099996
338,OPC-NPC-like,PARD6B,0.11353028226335446,0.04934858305403044
339,OPC-like,PARD6B,0.015511278652786134,0.042089634461769984
340,OPC-neuronal-like,PARD6B,0.3350583139070044,0.059748057452319286
341,Proliferative,PARD6B,0.07943981735129187,0.05760420409629896
